2020-11-30 17:09:29 DEBUG StateMachine:32 - %statemachine.trophysystem
2020-11-30 17:09:30 INFO  ImportJsonState:52 - %statemachine.trophysystem
2020-11-30 17:09:31 INFO  DeserializeObject:46 - %statemachine.trophysystem
2020-11-30 17:10:22 INFO  CreateTeam:53 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  MatchScheduleAbstractFactory:12 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  MatchScheduleAbstractFactory:13 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  MatchScheduleAbstractFactory:27 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameSimulationAbstractFactory:12 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameSimulationAbstractFactoryConcrete:30 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameSimulationAbstractFactoryConcrete:16 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:23 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
2020-11-30 17:10:24 INFO  GameConfiguration:183 - %statemachine.trophysystem
